IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
81709;2014-12-29;Grabado de Totoy Zamudio (Ingresado al Inventario MTT, Acta N° 24308);Navidad;CHILEVISIÓN;;;SUBSECRETARIA DE TRANSPORTES;AN001;363
81697;2015-01-12;1 EJEMPLAR REVISTA "CHINA HOY";CORTESÍA;CHINA INTERNACIONAL BOOK TRADING CORPORATION;;;SUBSECRETARÍA DE JUSTICIA;AK001;662
81731;2015-01-19;Galvano;Aniversario del Club Deportivo Minvu - Serviu Iquique;Club Social, Deportivo y Cultural Pukara Minvu Serviu Iquique.;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;598
81727;2014-12-19;CD´s  con Selección programas financiados por Fondo - CNTV;obsequio navidad;CNTV Consejo Nacional de Televisión;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;210
81723;2014-12-24;Cuatro jugos;Navidad;Colbún S.A.;;;SUBSECRETARÍA DE TURISMO;AH011;455
81962;2015-01-19;1 EJEMPLAR "REVISTA DEL ABOGADO" EDICIÓN N° 62, ENERO 2015;CORTESÍA;COLEGIO DE ABOGADOS DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;639
81697;2015-01-16;1 EJEMPLAR "REVISTA DEL ABOGADO" EDICIÓN N° 62, ENERO 2015;CORTESÍA;COLEGIO DE ABOGADOS DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;672
81697;2015-01-27;1 EJEMPLAR "DIARIO COLEGIO DE ABOGADOS VALPARAÍSO" - EDICIÓN ESPECIAL;CORTESÍA;COLEGIO DE ABOGADOS DE VALPARAÍSO;;;SUBSECRETARÍA DE JUSTICIA;AK001;682
81697;2014-12-17;1 EJEMPLAR DEL LIBRO "UN AÑO SIN PRIMAVERA"  ;Cortesía;COMISIÓN INDEPENDIENTE DE DD.HH. DE TOCOPILLA;;;SUBSECRETARÍA DE JUSTICIA;AK001;390
81731;2014-12-02;bandeja de madera;visita en terreno obra vial Manso de Velasco, San Fernado, Comité Adulto Mayor Barrio San Ramón, VI Región;Comité Adulto Mayor Barrio San Ramón;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;88
81731;2014-12-19;Ramo de Flores;Visita a la Región de Los Ríos;Comité de Vivienda de Futrono;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;225
81731;2014-12-15;Telar madera pequeño;Visita de la Ministra a la XII Región;Comité de Vivienda Eduardo Frei y Juan Pablo II, Puerto Natales, XII Región;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;115
81731;2014-12-20;Ramo de Flores;Visita Región de Los Ríos;Comité de Vivienda Lago Ranco;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;228
81731;2014-12-15;Cuadro de Madera y Ceramica;Visita Sra. Ministra a la XII Región;Comité de Vivienda Nueva Esperanza, XII Región;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;114
81941;2015-01-09;Adorno típico de madera (carreta de bueyes), 1 kg. de longanizas y 1 botella de vino.;Reunión con Comité Ñuble Región;Comité Pro Región de Ñuble.;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;551
81713;2014-12-17;1 Bolso y 1 tarjeta de navidad;Regalo de Navidad;COMPASS GROUP;;;SUBSECRETARÍA DE HACIENDA;AE001;372
81697;2014-12-17;1 C.D. Y PUBLICACIÓN "LAS RAÍCES DE UNA COMUNIDAD";Cortesía;COMUNIDAD DE AGUA. VILLA LAS ROSAS - LA PINTANA;;;SUBSECRETARÍA DE JUSTICIA;AK001;386
81694;2014-12-09;LIBRO  "LAS RAICES DE UNA COMUNIDAD" HUERTOS OBREROS Y FAMILIARES LAS ROSAS;PARA CONOCIMIENTO.;COMUNIDAD DE AGUAS VILLA LAS ROSAS  COMUNA DE LA PINTANA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;141
81768;2014-12-16;Candelabro Hebreo (Menorá);celebración de Januca,  se entregó  al subsecretario el "Premio Espíritu Maccabi"  ;Comunidad Judía;;;SUBSECRETARÍA DEL INTERIOR;AB001;132
34978;2015-01-27;Galardón "Luz y Memoria";Día internacional de conmemoración en memoria de las victimas del Holocausto.;Comunidad Judía de Chile;;;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;68
81731;2014-12-22;Chocolates;Navidad;Congreso Nacional;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;242
81729;2015-01-12;LIBRO ;RECONOCIMIENTO A MINISTERIO A PROGRAMAS QUE APOYAN A PERSONAS CON DISCAPACIDAD ;CONSALUD;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;589
81941;2014-12-29;Memoria 60 Años del CRUCH;Cortesía;Consejo de Rectores de Universidades Chilenas;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;333
81715;2014-12-29;dos cuadernos, lapices, una botella de vino ;Obsequio de Fin de Año;Consejo Nacional de Produccion Limpia;;;SUBSECRETARÍA DE ECONOMÍA;AH001;353
81810;2014-12-23;COLECCION DE DVD;FIESTAS DE FIN DE AÑO ;CONSEJO NACIONAL DE TELEVISION;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;277
81928;2014-12-19;SELECCION PROGRAMAS FINANCIADOS POR EL FONDO DE FOMENTO A LA CALIDAD DE LA TELEVISION;FIESTA DE NAVIDAD;CONSEJO NACIONAL DE TELEVISION;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;217
81711;2014-12-22;COLECCIÓN DE PELICULAS;PRESENTE DE NAVIDAD;CONSEJO NACIONAL DE TELEVISIÓN;;;SUBSECRETARÍA DE ECONOMÍA;AH001;250
81696;2014-12-22;COLECCIÓN DE PELÍCULAS DEL CONSEJO NACIONAL DE TELEVISIÓN;Saludo;CONSEJO NACIONAL DE TELEVISIÓN;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;280
81694;2014-12-23;COLECCION DE PELICULAS DEL CONSEJO NACIONAL DE TELEVISIÓN;SALUDO DE NAVIDAD;CONSEJO NACIONAL DE TELEVISIÓN;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;295
81712;2014-12-22;Set de DVD Serie Los Archivos del Cardenal, Sueños, 31 Minutos y Violeta Parra;Regalo de Navidad;Consejo Nacional de Televisión;;;SUBSECRETARÍA DE HACIENDA;AE001;439
81697;2014-12-23;COLECCIÓN FONDO CNTV;Cortesía;CONSEJO NACIONAL DE TELEVISIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;400
81931;2014-12-19;DVD/  COLECCION FONDO - CNTV;RECOPILACIÓN DEL AÑOS 2014/ CONSEJO NACIONAL DE TELEVISIÓN  ;CONSEJO NACIONAL DE TELEVISIÓN;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;345
81775;2014-12-22;4 Películas Chilenas de Colección;Navidad 2014;Consejo Nacional de Televisión;;;SUBSECRETARÍA DEL INTERIOR;AB001;239
81719;2014-12-19;Selección de Películas Chilenas  ;Saludo de Navidad. Ministra dona a Fundación paternitas;Consejo Nacional de Televisión;;;SUBSECRETARÍA DEL TRABAJO;AL001;329
81724;2014-12-22;CDS Selecciòn Programa Pro Fondo CNTV y tarjeta de Navidad.;Saludo de Navidad;Consejo Nacional de Televisiòn - CNTV;;;POLICÍA DE INVESTIGACIONES DE CHILE;AD010;467
81705;2014-12-23;Colección DVD/CNTV;Saludo de Navidad;Consejo Nacional de Televisión / Oscar Reyes Presidente;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;301
81731;2014-12-15;Figura de madera y greda "Cueva Milodón", Punta Arenas;Visita de la Sra. Ministra a Puerto Natales.;Consejo Vecinal de Desarrollo del Programa Quiero Mi Barrio "Octavio Castro".;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;113
81694;2015-01-23;LIBROS VOLUMEN 1 Y 2  RECOPILACION DE LEYES Y REGLAMENTOS ;REGALO ;CONTRALORIA GENERAL DE LA REPUBLICA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;620
81472;2014-12-19;REGALO DE CORTESIA;SALUDO NAVIDEÑO;CONTRALORIA GENERAL DE LA REPUBLICA DE PARAGUAY;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;22
81472;2014-12-12;LIBRO INSTITUCIONAL;SALUDO DE FIN DE AÑO;CONTRALORIA GENERAL DE MEXICO;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;13
81963;2014-12-31;CANASTA DE PRODUCTOS LACTEOS;SALUDO FIN DE AÑO;COOPERATIVA CHORTITZER - ASOCIACION CIVIL CHORTITZER KOMITEE;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;478
81715;2014-12-23;Productos Gourmet;Obsequio de Fin de Año;COOPERATIVA COOPEUCH;;;SUBSECRETARÍA DE ECONOMÍA;AH001;347
81712;2015-01-14;Una entrada doble al espectáculo: "Concierto de verano 2015";Regalo de cortesía;Cooperativa del Personal de la Universidad de Chile Ltda.;;;SUBSECRETARÍA DE HACIENDA;AE001;692
81705;2015-01-14;Libros: El Patrimonio Histórico y Militar, Anuario 2013, Base O´Higgins, 365 días al sur del mundo;Entregar material para web "Patrimonio de la Defensa";Corporación Conservación y Difusión del Patrimonio Histórico y Militar;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;573
81694;2015-01-13;CALENDARIO 2015;REGALO;CORPORACION EDUCACIONAL FEDERICO FROEBEL;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;576
81713;2015-01-12;1 Calendario 2015;Regalo de Cortesía;Corporación Nacional Forestal;;;SUBSECRETARÍA DE HACIENDA;AE001;704
81694;2015-01-13;CALENDARIO 2015 ;REGALO;CORPORACION NACIONAL FORESTAL - CONAF;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;575
81726;2014-12-26;Caja de 250 grs. de galletas navideñas;Saludo Navideño;Corporación Opcion;;;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;348
81697;2014-12-23;GALLETAS DE NAVIDAD;Cortesía;CORPORACIÓN OPCIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;401
81942;2014-12-23;Galletas;Saludo por fiestas de fin de año;Corporación Opción;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;326
81727;2014-12-23;Caja de galletas;Navidad;Corporación Opción Beneficencia.;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;291
81705;2014-12-02;Merchandising empresa: Tazón, lapices, folletería y gorro tipo jockey.;Exponaval;Damen Shipyards Gorinchem;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;79
81705;2014-12-22;Revista Defensa Global N° 9 / Botella de vino;Saludos de fin de año;Defensa Global;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;235
81806;2014-12-23;Lápiz institucional (Parker);Presente;Desarrollos y Proyectos de Ingeniería INGETECH S.A.;;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;529
81749;2015-01-14;Agenda  Ediciones de la JUNJI 2015;Obsequio directamente a gabinete del Ministro ;Desirée Lopez de Maturana Luna;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;570
81472;2014-12-22;LIBRO;SALUDO NAVIDEÑO;DIARIO EL MERCURIO;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;26
81810;2014-12-23;LIBRO;FIESTAS DE FIN DE AÑO;DIARIO EL MERCURIO;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;266
81688;2014-12-18;LIBRO "GRANDES FIRMAS DEL MUNDO EN EL MERCURIO";REGALO DE NAVIDAD;DIARIO EL MERCURIO;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;192
81729;2015-01-06;LIBRO "BIBLIOTECA, CIUDAD Y SOCIEDAD :PLAN MAESTRO DE LA BIBLIOTECA NACIONAL";DE DIFUNDIR PARA MULTIPLICAR LOS ESPACIOS URBANOS Y QUE PROPICIEN EL ENCUENTRO CON LA CULTURA Y LA MEMORIA.;DIBAM;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;519
81921;2015-01-27;Libro Caso Oxy: Defensa Jurìdica de una decisión soberana y en derecho del Estado Ecuatoriano;Publicaciòn enviada por el Procurador General del Estado de Ecuador con el objetivo de "ponder a disposiciòn de los ecuatorianos  la defensa del proceso arbitral originado en la demanda de la empresa Occidental (OXY) en contra del Estado ecuatoriano".;Diego García Carrión, Procurador General del Estado de Ecuador;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;696
81810;2014-12-22;VINO;FIESTAS DE FIN DE AÑO ;DIPUTADO ISSA KORT;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;244
81729;2014-12-19;Libro "Santiago desde el aire";Obsequio de la Dieccion General de Aeronautica Civil ;Direcccion General de Aeronautica Civil;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;473
81719;2014-12-19;Libro Museo Histórico Nacional;Saludo de Navidad. Ministra dona a Fundación Paternitas;Dirección de Bibliotecas Archivos y Museos;;;SUBSECRETARÍA DEL TRABAJO;AL001;349
81705;2015-01-22;Libro Poemas de Chile;Agradecimiento;Dirección de Bibliotecas, Archivos y Museos;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;607
81694;2015-01-28;2 LIBROS ESTADISTICAS DE LAS FINANZAS PUBLICAS 2004-2013 Y ESTADISTICAS DE RECURSOS HUMANOS DEL SECTOR PUBLICO;REGALO;DIRECCION DE PRESUPUESTO;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;622
81705;2015-01-27;Libro Estadísticas de las Finanzas Públicas / RRHH del Sector Público;Informativo;Dirección de Presupuestos;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;626
81921;2015-01-26;Libros Estadísticas de las Finanzas Públicas 2004 - 2013 y Estadísticas de Recursos Humanos del Sector Público 2004 - 2013;Difusion estadísticas de la Dirección de Presupuestos;Direcciòn de Presupuestos, Ministerio de Hacienda;;;CONSEJO DE DEFENSA DEL ESTADO (CDE);AX001;697
81705;2014-12-23;Libro El avión de Havilland Vampire;En el marco del 60° aniversario del primer vuelo de un reactor nacional.;Dirección General de Aeronáutica Civil;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;303
81694;2014-12-12;LIBRO - 20 POEMAS AL ARBOL Y UN CACTUS DE LA COSTA DE PABLO NERUDA;SALUDO DE NAVIDAD ;DIRECTOR EJECUTIVO CENTRO CULTURAL ESTACION MAPOCHO;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;139
81731;2015-01-13;Calendario año 2015;año 2015;Director Ejecutivo Corporación Nacional Forestal;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;566
81749;2015-01-14;Libro Biblioteca, Ciudad y Sociedad Plan Maestro Biblioteca Nacional de Chile ;Obsequio directamente a gabinete de Ministro;Directora Biblioteca Nacional de Chile;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;581
81749;2015-01-09;Directorio de Empresas y Ejecutivos 2014-2015;Obsequio directamente a gabinete de Ministro ;Directorio Nacional de Empresas y Ejecutivos;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;544
81722;2014-12-23;JAMÓN SERRANO TRUJILLO;NAVIDAD;DRAGADOS;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;264
81720;2014-12-22;Pierna de Jamón (enviado a Servicio de Bienestar,  para fines Solidarios, mediante Oficio Ord. N° 3389, 31/12/2014);Regalo de Navidad ;DRAGADOS S.A. AGENCIA EN CHILE;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;413
81764;2014-12-19;Mini Parlante Bluetooth;Navidad;E-CL;;;SUBSECRETARIA DE ENERGÍA;AU002;258
81764;2014-12-19;libro,  El buen Alcalde Ideas y Experiencias para el Bienestar Comunal. ;Navidad;Ecoscience;;;SUBSECRETARIA DE ENERGÍA;AU002;255
81941;2014-12-01;Revista Capital N° 386;Cortesía;Ediciones e Impresos S.A.;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;75
81941;2014-12-16;Revista Capital N° 387;Cortesía;Ediciones e Impresos S.A.;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;124
81941;2015-01-02;Revista Capital N° 388;Cortesía;Ediciones e Impresos S.A.;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;453
81749;2015-01-13;Libro  Birds of Chile;Obsequio directamente a gabinete de Ministro ;Editorial Kactus Sipimex Ltda;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;565
81697;2015-01-27;1 EJEMPLAR REVISTA "OCCIDENTE", EDICIÓN N° 447, ENERO-FEBRERO 2015;CORTESÍA;EDITORIAL LIBRERÍA Y SERVICIOS GENERALES;;;SUBSECRETARÍA DE JUSTICIA;AK001;680
81749;2014-12-22;Libro "Bird Of Chile";Obsequio de Navidad ;Eduardo Pavez;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;487
81473;2014-12-10;BANDEJA CON LOGO INSTITUCIONAL EFS FILIPINAS;28 REUNIÓN COMITÉ ASESOR AUDITORÍA INDEPENDIENTE NACIONES UNIDAS;EFS FILIPINAS;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;12
81472;2014-12-30;LIBRO;REGALO DE CORTESIA;EJERCITO DE CHILE;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;30
81764;2014-12-22;libro "Grandes Firmas del Mundo";Navidad;El Mercurio;;;SUBSECRETARIA DE ENERGÍA;AU002;257
81775;2014-12-19;1 libro "Grandes Firmas de El Mercurio en el Mundo";Navidad;El Mercurio;;;SUBSECRETARÍA DEL INTERIOR;AB001;196
81705;2014-12-22;Libro Grandes Firmas del Mundo en El Mercurio;Saludo de Navidad;El Mercurio;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;304
81713;2014-12-22;1 Libro Grandes firmas del mundo ;Regalo de Navidad;El Mercurio S.A;;;SUBSECRETARÍA DE HACIENDA;AE001;382
81764;2015-01-12;Botella de Agua;Navidad;Embajada Confederación Suiza en Chile;;;SUBSECRETARIA DE ENERGÍA;AU002;554
81711;2015-01-07;1 CALENDARIO ;PRESENTE DE NAVIDAD;EMBAJADA DE ALEMANIA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;538
81694;2015-01-07;CALENDARIO ALEMANIA EN EUROPA 2015;REGALO;EMBAJADA DE ALEMANIA EN CHILE;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;574
81764;2014-12-12;Colleras;Invitación al Foro Inversión Australia;Embajada de Australia;;;SUBSECRETARIA DE ENERGÍA;AU002;340
81768;2014-12-22;Calendario;Saludos de Fin de Año;Embajada de China;;;SUBSECRETARÍA DEL INTERIOR;AB001;219
81727;2014-12-19;Calendario 2015;obsequio navidad;Embajada de China en Chile;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;212
82014;2014-12-10;Una botella de Vodka;Saludo Navidad;Embajada de Cuba;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;452
81696;2015-01-02;CAJA CON ACCESORIOS DE ESCRITORIO ;REGALO;EMBAJADA DE ESTADOS UNIDOS;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;604
81694;2014-12-31;porta post-It con post-it de colores y lapiz con logo de Bandera de Estados Unidos;saludos;EMBAJADA DE ESTADOS UNIDOS EN CHILE;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;494
82014;2014-12-10;Una botella de Vodka;Saludo Navidad;Embajada de Israel;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;452
81928;2014-12-02;CALENDARIO;MES NAVIDEÑO;EMBAJADA DE JAPON;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;92
81697;2014-12-17;1 CALENDARIO AÑO 2015 ;Cortesía;EMBAJADA DE JAPÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;397
81715;2014-12-22;Libro " La Mujer India";Obsequio de Fin de Año;Embajada de la India;;;SUBSECRETARÍA DE ECONOMÍA;AH001;339
81775;2014-12-17;1 botella de ;Navidad;Embajada de la República de Filipinas - Embajadora María Consuelo Puyat-Reyes;;;SUBSECRETARÍA DEL INTERIOR;AB001;143
81711;2014-12-19;1 CALENDARIO DE PARED;PRESENTE DE NAVIDAD;EMBAJADA DE LA REPÚBLICA POPULAR CHINA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;211
81744;2014-12-19;Calendario 2015;Navidad 2014;Embajada de la República Popular China;;;SUBSECRETARÍA DE MINERÍA;AS001;432
34990;2014-12-29;Caja de chocolates. Oficina de Prensa, Cultura y Programas de Inglés, Embajada de los Estados Unidos de América.;Obsequio corporativo, ocasión no especificada por donante.;Embajada de los Estados Unidos de América;;;MINISTERIO PUBLICO;NR008;9
81719;2015-01-06;Articulo de escritorioss (Post- it, destacadores y banderitas) ;Saludo de Navidad ;Embajada de los Estados Unidos de América;;;SUBSECRETARÍA DEL TRABAJO;AL001;560
82014;2014-12-10;Una botella de Vodka;Saludo Navidad;Embajada de Polonia;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;452
81745;2014-12-22;Libro "Ministry of Foreing Affairs of the Republic of Poland";Navidad;Embajada de Polonia en Chile;;;SUBSECRETARÍA DE MINERÍA;AS001;321
81752;2015-01-13;Botella de Agua ;Regalo Navideño ;Embajada de Suiza en Chile;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;567
81711;2014-12-18;1 AGENDA;PRESENTE DE NAVIDAD;EMBAJADA DE TURQUIA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;187
81705;2014-12-22;Agenda;Saludo de Navidad;Embajada de Turquia;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;299
81746;2014-12-19;Agenda;Fiestas Navideñas;Embajada de Turquía;;;SUBSECRETARÍA DE AGRICULTURA;AR001;202
81764;2014-12-22;Agenga 2014;Navidad;Embajada de Turquía;;;SUBSECRETARIA DE ENERGÍA;AU002;256
81744;2014-12-16;Agenda;Navidad 2014;Embajada de Turquía;;;SUBSECRETARÍA DE MINERÍA;AS001;428
81747;2014-12-01;Tazón;Seminario "Cosechando eficiencia en la horticultura protegida Chilena";Embajada del Reino de Los Países Bajos;;;SUBSECRETARÍA DE AGRICULTURA;AR001;70
81810;2014-12-23;CHAMPAÑA  ;fiestas fin de año ;EMBAJADOR DE ARGELIA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;263
81810;2014-12-08;LICOR;FIESTAS FIN DE AÑO ;EMBAJADOR DE COREA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;164
81810;2014-12-17;FIGURA DECORATIVA ;FIESTAS DE FIN DE AÑO ;EMBAJADOR DE EGIPTO;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;170
81718;2014-12-04;calendario de pared año 2015;presente de navidad ;Embajador de Japón;;;SUBSECRETARÍA DE PESCA;AH002;89
81749;2015-01-02;Calendario Alemania En Europa año 2015;Obsequio de Navidad;Embajador de la República Federal de Aemania;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;483
81810;2014-12-09;LICOR Y UN PRESENTE ;FIESTAS DE FIN DE AÑO ;EMBAJADOR DE RUSIA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;166
81810;2014-12-23;BOLSA  CON PRODUCTOS TAILANDESES ;FIESTAS DE FIN DE AÑO ;EMBAJADOR DE TAILANDIA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;265
81705;2014-12-11;Cuadro decorativo;Visita del Embajador de Vietnam, Ngo Duc Thang;Embajador de Vietnam Ngo Duc Thang;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;101
81694;2014-12-23;CALENDARIO 2015;REGALO DE NAVIDAD;EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO DE LA REPUBLICA POPULAR CHINA EN CHILE;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;292
81928;2014-12-23;AGENDA;FIESTA DE NAVIDAD;EMBAJADORA  DE TURQUIA;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;319
81810;2014-12-16;LICOR;FIESTAS DE FIN DE AÑO ;EMBAJADORA DE FILIPINAS;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;169
81810;2014-12-22;LIBRO;FIESTAS DE FIN DE AÑO ;EMBAJADORA DE POLONIA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;243
81810;2014-12-10;UN PRESENTE ;FIESTAS DE FIN DE AÑO ;EMBAJADORA DE TURQUIA;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;167
81705;2014-12-11;Libro "The History of Embraer".;Audiencia;Embraer S.A.;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;100
81749;2015-01-12;Libro Directorio y Observatorio de Residuos 2015;Obsequio directamente a gabinete del Ministro ;EMERES Gestión Local Sustentable;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;556
81731;2014-12-24;Caja Navideña, con cajas de chocolate, vino, champagne;Navidad;Emil Sosman B., Gerente Inmobiliaria Algarrobo Norte;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;320
81838;2014-12-22;Chocolates;Regalo de Navidad;Empresa de Correos de Chile;;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;614
81731;2015-01-12;Libro "Parque Nacionales de Chile, Tomo 1".;Navidad;Empresa Enersis  (Presidente Jorge Rosenblut;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;558
81749;2014-12-19;Libro Santiago Desde El Aire ;Obsequio de Navidad ;Empresa Entel;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;485
81731;2014-12-19;Gorro de lana y Llavero;ceremonia primera piedra en Paillaco, visita en terreno en la Región de Los Ríos;Empresa Guzmán Larraín;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;222
81765;2015-01-21;Torre Eólica en Miniatura ; Charla de Energía y entrega de Cocinas Solares en la Serena ;Empresa Kaltemp;;;SUBSECRETARIA DE ENERGÍA;AU002;625
81472;2014-12-23;CAJA CON ACEITES DE OLIVA;SALUDO NAVIDEÑO;EMPRESA SERINCO;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;27
81723;2014-12-22;Frasco de miel;Navidad;Empresas Andina del Sud;;;SUBSECRETARÍA DE TURISMO;AH011;410
81718;2014-12-12;caja conteniendo productos perecibles;Presente de Navidad;Empresas Aquachile S.A.;;;SUBSECRETARÍA DE PESCA;AH002;151
81928;2014-12-24;1 CAJITA DE CHOCOLATES;NAVIDAD;EMPRESAS ECM;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;351
81765;2015-01-06;1 libro Parque Nacional De Chile ;Navidad ;ENDESA CHILE;;;SUBSECRETARIA DE ENERGÍA;AU002;528
81749;2014-12-19;Libro " Bosques de Chile";Obsequio de Navidad;ENDESA S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;495
81764;2015-01-06;Libro "Parques Nacionales" Tomo I;Navidad;Enel, Endesa Chile.;;;SUBSECRETARIA DE ENERGÍA;AU002;535
81746;2015-01-06;Libro;Fiestas de Navidad;ENERSIS;;;SUBSECRETARÍA DE AGRICULTURA;AR001;510
