FechaInicio_Viaje;FechaTermino_Viaje;Destino_Viaje;CostoTotal_Viaje;Monto_DesgloseViaje;OtroTipo_DesgloseViaje;Nombre_TipoDesglose;Nombre_FinancistaViaje;Apellidos_FinancistaViaje;Nombre_FinancistaViajeEntidad;IDPasivo;IDViaje_CodigoViaje;Nombre_Objeto;Otro_ObjetoViaje;Nombre_Institucion;IDORPortal_Institucion
2015-01-20;2015-01-20;TEMUCO;40828;40828;;Alimentación;;;Subsecretaria Evaluación Social;81729;426;Otro;Visita Región de la Araucanía;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
2014-12-05;2014-12-05;Valparaiso;40828;40828;Peaje, bencina;Otros;;;Ministerio de Bienes Nacionales;81957;252;Relacionamiento institucional;Lanzamiento Campaña Acceso a lo Nuestro.;SUBSECRETARÍA DE BIENES NACIONALES;AQ001
2015-01-10;2015-01-10;MARÍA PINTO-REGIÓN METROPOLITANA;40828;40828;VIATICO;Otros;;;MINISTERIO DE OBRAS PUBLICAS, SUBSECRETARIA;81722;353;Celebraciones, conmemoraciones e inauguraciones,;INAUGURACIÓN SENDA MULTIPROPOSITO;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2014-12-26;2014-12-26;Temuco,Chile;295704;40828;Viatico;Otros;;;Ministerio de Obras Públicas, Subsecretaria;81722;207;Visitas técnicas;Reunión con Autoridades de la Región y Programa de Caminos Básicos de la Región.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2015-01-22;2015-01-22;Valparaiso;40828;40828;Viatico;Otros;;;Ministerio Secretaría general de la Presidencia;81727;436;Relacionamiento institucional;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-26;2015-01-26;Valparaíso;40828;40828;VIatico;Otros;;;Ministerio Secretaría General de la Presidencia;81727;438;Otro;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-27;2015-01-27;Valparaíso;40828;40828;Viatico;Otros;;;Ministerio Secretaría General de la Presidencia;81727;439;Otro;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-28;2015-01-28;Valparaíso;40828;40828;Viatico;Otros;;;Ministerio Secretaría General de la Presidencia;81727;440;Otro;Asiste a sesiones en el Congreso Nacional, Valparaíso;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001
2015-01-06;2015-01-06;valparaiso;44228;40828;viatico;Otros;;;Subsecretaria de Economia y Empresas de Menor Tamaño;81715;283;Otro;Sesión en el Congreso Nacional;SUBSECRETARÍA DE ECONOMÍA;AH001
2015-01-23;2015-01-23;Concepcion;304046;40828;viatico;Otros;;;Subsecretaria de Economia y Empresas de Menor Tamaño;81715;391;Celebraciones, conmemoraciones e inauguraciones,;expositora en ceremonia de lanzamiento de granconcepcion ciudad creativa;SUBSECRETARÍA DE ECONOMÍA;AH001
